Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/07/2023;TUBERCULOS, RAICES Y PLATANOS;Papa Puracé;Montería, Mercado del Sur;1.567
1/09/2023;VERDURAS Y HORTALIZAS;Apio;Manizales, Centro Galerías;1.567
1/10/2023;FRUTAS;Papaya tainung;Ibagué, Plaza La 21;1.567
1/06/2023;VERDURAS Y HORTALIZAS;Pepino de rellenar;Ibagué, Plaza La 21;1.566
1/09/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Medellín, Central Mayorista de Antioquia;1.566
1/09/2023;VERDURAS Y HORTALIZAS;Repollo blanco;Montería, Mercado del Sur;1.566
1/02/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Palmira (Valle del Cauca);1.565
1/02/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Sincelejo, Nuevo Mercado;1.565
1/02/2023;FRUTAS;Naranja Valencia;Cartago (Valle del Cauca);1.565
1/05/2023;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Cartago (Valle del Cauca);1.565
1/08/2023;FRUTAS;Papaya Maradol;Duitama (Boyacá), Mercaplaza;1.565
1/10/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Florencia (Caquetá);1.565
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano hartón verde;Montería, Mercado del Sur;1.565
1/12/2023;FRUTAS;Tomate de árbol;La Ceja (Antioquia);1.565
1/01/2023;VERDURAS Y HORTALIZAS;Brócoli;Villavicencio, CAV;1.564
1/04/2023;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Buenaventura (Valle del Cauca);1.564
1/04/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Pereira, La 41;1.564
1/05/2023;FRUTAS;Banano criollo;Popayán, Plaza de mercado del barrio Bolívar;1.564
1/08/2023;VERDURAS Y HORTALIZAS;Calabaza;Medellín, Central Mayorista de Antioquia;1.564
